experiment,repeticion,sin,con,numpy,python,Reficiente,R
300,20,0.159967,0.062743,0.033714056,,0.030771971,5.28830719
300,21,0.162229,0.063249,0.029757738,,0.032013893,5.385900974
300,22,0.167574,0.063386,0.031171083,,0.032001972,5.445277929
300,23,0.163469,0.066097,0.028448343,,0.030230999,5.328327179
300,24,0.159801,0.06487,0.031015873,,0.030443907,5.284352064
300,25,0.16325,0.065828,0.028578281,,0.026834965,5.353958845
300,26,0.162528,0.063827,0.030687809,,0.041478157,5.343637943
300,27,0.161087,0.065244,0.029564619,,0.045967102,5.270737886
300,28,0.162578,0.063983,0.028734207,,0.03255105,5.258709908
300,29,0.162487,0.065366,0.03117466,,0.035706997,5.449285984
300,30,0.161037,0.065036,0.029506683,,0.033117056,6.247473955
400,1,0.366163,0.213862,0.087065,,0.060513973,13.7770741
400,2,0.371429,0.21785,0.0805044,,0.058580875,13.41415691
400,3,0.367395,0.219965,0.079061,,0.061177015,15.43022108
400,4,0.369597,0.214993,0.08816,,0.086489916,13.02091908
400,5,0.364728,0.287418,0.085702,,0.079123974,13.81084704
400,6,0.368616,0.325193,0.08428,,0.060398817,13.81361103
400,7,0.365732,0.277733,0.08351,,0.059966087,12.79179502
400,8,0.369249,0.233326,0.0845518,,0.058334112,13.29590297
400,9,0.368321,0.236574,0.08335,,0.060452938,13.24711704
400,10,0.366643,0.226992,0.084771,,0.061367035,13.99170399
400,11,0.372632,0.218474,0.092684031,,0.064672947,13.34463692
400,12,0.371569,0.216601,0.082460165,,0.056834936,13.25660205
400,13,0.371852,0.219458,0.095308781,,0.065067053,12.36082506
400,14,0.369635,0.217664,0.095657825,,0.056545973,12.35044503
400,15,0.376064,0.217303,0.086304903,,0.058843851,12.63880396
400,16,0.368587,0.223389,0.084472418,,0.057523966,12.59681606
400,17,0.374629,0.217169,0.081548691,,0.058845997,13.49213195
400,18,0.36916,0.216886,0.080923557,,0.060377121,12.52226901
400,19,0.385394,0.219184,0.081835508,,0.055521965,12.60851383
400,20,0.371287,0.216991,0.084313869,,0.06131506,14.01778507
400,21,0.37519,0.219315,0.084216595,,0.052042961,13.14011502
400,22,0.371891,0.218563,0.082149267,,0.059762001,12.77601504
400,23,0.367448,0.219524,0.085300207,,0.058172941,12.88434696
400,24,0.376591,0.21662,0.085475683,,0.054596901,12.79843807
400,25,0.374489,0.220393,0.083779335,,0.05574584,12.99957585
400,26,0.366858,0.221196,0.088865042,,0.05430603,13.25209808
400,27,0.37312,0.219626,0.083715916,,0.055658817,13.19211507
400,28,0.379822,0.217836,0.084439278,,0.054259062,12.73015785
400,29,0.372322,0.222235,0.080102921,,0.061534882,12.848037
400,30,0.370717,0.218592,0.082888126,,0.058398962,13.00653696
500,1,0.772636,0.303577,0.1518278,,0.153208017,26.11528301
500,2,0.795158,0.300047,0.157668,,0.113256931,26.14954591
500,3,0.77153,0.305362,0.15527,,0.122332096,25.70966578
500,4,0.76323,0.308712,0.1559281,,0.108997822,25.59786391
500,5,0.772817,0.30611,0.18138,,0.102097988,25.39545894
500,6,0.763992,0.30492,0.15232,,0.112216949,25.29527307
500,7,0.781103,0.307318,0.157107,,0.1048069,25.06311417
500,8,0.788831,0.311424,0.152282,,0.109333992,25.62104201
500,9,0.789142,0.306781,0.149502,,0.105338812,24.90227604
500,10,0.762223,0.31173,0.151524,,0.104502201,26.76339698
500,11,0.774275,0.306741,0.168367386,,0.096067905,23.28764987
500,12,0.778471,0.30857,0.146434069,,0.098189116,25.83446908
500,13,0.801897,0.307146,0.146934748,,0.102827072,25.07113194
500,14,0.774876,0.32983,0.148013353,,0.093364,24.78199816
500,15,0.783287,0.308214,0.156729221,,0.095773935,23.53987098
500,16,0.844707,0.310324,0.143136978,,0.101812124,24.83722615
500,17,0.78799,0.3233,0.146547794,,0.091289043,24.192976
500,18,0.774422,0.30746,0.148143053,,0.101857185,25.07229686
500,19,0.817007,0.308748,0.150888443,,0.099812031,24.8609271
500,20,0.782783,0.307146,0.153666258,,0.100538969,25.145015
500,21,0.7703,0.309436,0.163939476,,0.095566034,23.27846694
500,22,0.795721,0.312787,0.149882555,,0.098798037,23.94031191
500,23,0.791707,0.309863,0.149799347,,0.123525143,25.6547091
500,24,0.800153,0.305864,0.155677557,,0.099480152,24.36848116
500,25,0.77733,0.307969,0.149092197,,0.097339869,23.20429897
500,26,0.77937,0.305804,0.146936893,,0.097836971,23.18044901
500,27,0.774284,0.306312,0.143407583,,0.093795061,23.20603704
500,28,0.781361,0.3072,0.147054195,,0.094133139,22.89138389
500,29,0.783286,0.314514,0.155544996,,0.097126961,23.17614889
500,30,0.764497,0.310068,0.14592576,,0.099705935,23.28456306
